identificador,rango,titulo,fecha_publicacion,derogada,url
BOE-A-1998-20644,Real Decreto,"Real Decreto 1566/1998, de 17 de julio, por el que se establecen los criterios de calidad en radioterapia.",19980828,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-20644
BOE-A-1998-20762,Real Decreto,"Real Decreto 1760/1998, de 31 de julio, por el que se determina la composición y funcionamiento del Consejo de la Red de Parques Nacionales, de las Comisiones Mixtas de Gestión de dichos parques y de sus Patronatos.",19980901,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-20762
BOE-A-1998-20921,Resolución,"Resolución de 21 de agosto de 1998, de la Secretaría de Estado para la Administración Pública, por la que se publican en las diferentes lenguas oficiales del Estado, distintas del castellano, los modelos de impresos a utilizar en las elecciones a órganos de representación del personal al servicio de la Administración General del Estado.",19980904,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-20921
BOE-A-1998-20926,Acuerdo Internacional,"Tratado de Extradición entre el Reino de España y la República de Panamá, hecho en Panamá el 10 de noviembre de 1997.",19980905,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-20926
BOE-A-1998-20925,Real Decreto-ley,"Real Decreto-ley 11/1998, de 4 de septiembre, por el que se regulan las bonificaciones de cuotas a la Seguridad Social de los contratos de interinidad que se celebren con personas desempleadas para sustituir a trabajadores durante los períodos de descanso por maternidad, adopción y acogimiento.",19980905,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-20925
BOE-A-1998-21017,Real Decreto,"Real Decreto 1649/1998, de 24 de julio, por la que se desarrolla el Título II de la Ley Orgánica 12/1995, de 12 de diciembre, de represión del contrabando, relativo a las infracciones administrativas de contrabando.",19980907,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-21017
BOE-A-1998-21126,Real Decreto,"Real Decreto 1732/1998, de 31 de julio, sobre tasas aplicables por las actividades y servicios prestados por la Comisión Nacional del Mercado de Valores.",19980908,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-21126
BOE-A-1998-21442,Orden,"Orden de 4 de septiembre de 1998 para la aplicación del Real Decreto 204/1996, de 9 de febrero, sobre mejoras estructurales y modernización de las explotaciones agrarias.",19980911,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-21442
BOE-A-1998-21443,Orden,Orden de 8 de septiembre de 1998 por la que se determina el mando y demarcación territorial de las Compañías y Puestos de la Guardia Civil.,19980911,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-21443
BOE-A-1998-21615,Real Decreto,"Real Decreto 1823/1998, de 28 de agosto, por el que se establece la composición y el funcionamiento de la Comisión para la Competitividad Industrial.",19980915,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-21615
BOE-A-1998-21934,Real Decreto,"Real Decreto 1932/1998, de 11 de septiembre, de adaptación de los capítulos III y V de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, al ámbito de los centros y establecimientos militares.",19980918,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-21934
BOE-A-1998-22296,Resolución,"Resolución de 10 de septiembre de 1998, de la Dirección General de Tecnología y Seguridad Industrial, por la que se autoriza la instalación de ascensores con máquinas en foso.",19980925,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-22296
BOE-A-1998-22628,Orden,Orden de 8 de septiembre de 1998 por la que se establece una reserva marina y una reserva de pesca en el entorno de la isla de Alborán y se regula el ejercicio de la pesca en los caladeros adyacentes.,19980929,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-22628
BOE-A-1998-22640,Resolución,"Resolución de 1 de septiembre de 1998, de la Intervención General de la Administración del Estado, por la que se ordena la publicación de la Resolución que aprueba las Normas de Auditoría del Sector Público.",19980930,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-22640
BOE-A-1998-22765,Orden,Orden de 18 de septiembre de 1998 por la que se dictan normas complementarias en materia de autorizaciones de transporte por carretera.,19981001,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-22765
